Account,Creditline,Target,predicted_target,top_feature_1,top_feature_1_value,top_feature_1_shap,top_feature_2,top_feature_2_value,top_feature_2_shap,top_feature_3,top_feature_3_value,top_feature_3_shap,top_feature_4,top_feature_4_value,top_feature_4_shap,top_feature_5,top_feature_5_value,top_feature_5_shap,analyst_summary
5223774,5223774-02-00,Low Risk,Medium Risk,Salary,-0.34046580614249433,0.9229649086269334,account_total_savings,-0.28209075223343555,-0.6299889196606145,start_year,0.5712449757996394,0.5651194955011772,Voluntary saving,-0.16153200381944186,0.40591545633681814,outstanding_to_payment_ratio,0.49085919367219416,-0.40208446285079796,"Salary=-0.3405 (pushes_toward Medium Risk, shap=0.9230); account_total_savings=-0.2821 (pushes_away Medium Risk, shap=-0.6300); start_year=0.5712 (pushes_toward Medium Risk, shap=0.5651); Voluntary saving=-0.1615 (pushes_toward Medium Risk, shap=0.4059); outstanding_to_payment_ratio=0.4909 (pushes_away Medium Risk, shap=-0.4021)"
5223782,5223782-02-02,High Risk,Medium Risk,Salary,-0.36746479686688555,0.9497807363769043,account_total_savings,-0.5530623779105845,-0.7262229231866384,account_loan_count,-0.866587262857074,0.5837259714534578,Voluntary saving,-0.41414576399708186,0.5183740743615735,account_total_payment_plan,-0.298245345351605,0.4695408540285596,"Salary=-0.3675 (pushes_toward Medium Risk, shap=0.9498); account_total_savings=-0.5531 (pushes_away Medium Risk, shap=-0.7262); account_loan_count=-0.8666 (pushes_toward Medium Risk, shap=0.5837); Voluntary saving=-0.4141 (pushes_toward Medium Risk, shap=0.5184); account_total_payment_plan=-0.2982 (pushes_toward Medium Risk, shap=0.4695)"
5223798,5223798-01-006,Low Risk,Low Risk,account_total_savings,-0.4301039304417055,1.768440253319434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.1712271674738328,-1.0800294146760205,Duration,-1.0613164848117256,1.0724747189754134,remaining_to_duration_ratio,0.8122637446289507,1.0700533254252147,"account_total_savings=-0.4301 (pushes_toward Low Risk, shap=1.7684); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.1712 (pushes_away Low Risk, shap=-1.0800); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725); remaining_to_duration_ratio=0.8123 (pushes_toward Low Risk, shap=1.0701)"
5223798,5223798-02-02,Low Risk,Low Risk,account_total_savings,-0.4301039304417055,1.768440253319434,Voluntary saving,-0.16153200381944186,-1.1048743784775996,Salary,-0.1712271674738328,-1.0800294146760205,remaining_to_duration_ratio,0.8122637446289507,1.0700533254252147,account_total_outstanding,-0.3367356731799294,-1.0651769506074584,"account_total_savings=-0.4301 (pushes_toward Low Risk, shap=1.7684); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049); Salary=-0.1712 (pushes_away Low Risk, shap=-1.0800); remaining_to_duration_ratio=0.8123 (pushes_toward Low Risk, shap=1.0701); account_total_outstanding=-0.3367 (pushes_away Low Risk, shap=-1.0652)"
5223806,5223806-01-015,Low Risk,High Risk,remaining_to_duration_ratio,-2.7689972689476767,2.1083788592281856,account_total_outstanding,-0.4097133120021518,1.2032374028173034,account_total_savings,-0.41919543997544323,-1.079721976181245,Voluntary saving,-0.41414576399708186,0.8926050452753513,Compulsory saving,-0.4410167315465443,0.8510534494682913,"remaining_to_duration_ratio=-2.7690 (pushes_toward High Risk, shap=2.1084); account_total_outstanding=-0.4097 (pushes_toward High Risk, shap=1.2032); account_total_savings=-0.4192 (pushes_away High Risk, shap=-1.0797); Voluntary saving=-0.4141 (pushes_toward High Risk, shap=0.8926); Compulsory saving=-0.4410 (pushes_toward High Risk, shap=0.8511)"
5223806,5223806-02-00,Low Risk,Low Risk,account_total_savings,-0.41919543997544323,1.7584028316511051,account_total_outstanding,-0.4097133120021518,-1.1069183829591382,Voluntary saving,-0.1347052547122443,-1.0723670634135654,Compulsory saving,-0.4410167315465443,-1.0546394899799538,remaining_to_duration_ratio,0.7099420013839042,0.9734667837253335,"account_total_savings=-0.4192 (pushes_toward Low Risk, shap=1.7584); account_total_outstanding=-0.4097 (pushes_away Low Risk, shap=-1.1069); Voluntary saving=-0.1347 (pushes_away Low Risk, shap=-1.0724); Compulsory saving=-0.4410 (pushes_away Low Risk, shap=-1.0546); remaining_to_duration_ratio=0.7099 (pushes_toward Low Risk, shap=0.9735)"
5223826,5223826-02-00,Low Risk,Low Risk,account_total_savings,-0.4366317444132322,1.7744468058857377,account_loan_count,-0.866587262857074,-1.4259699264733259,account_total_outstanding,-0.31782186834589116,-1.0543587148062683,Salary,-0.1448381462016451,-1.0425297098526458,remaining_to_duration_ratio,0.7625240083292755,1.0231015343211058,"account_total_savings=-0.4366 (pushes_toward Low Risk, shap=1.7744); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); account_total_outstanding=-0.3178 (pushes_away Low Risk, shap=-1.0544); Salary=-0.1448 (pushes_away Low Risk, shap=-1.0425); remaining_to_duration_ratio=0.7625 (pushes_toward Low Risk, shap=1.0231)"
5223828,5223828-02-00,Low Risk,Low Risk,account_total_savings,-0.5147984493656113,1.846371714328155,account_loan_count,-0.866587262857074,-1.4259699264733259,account_total_outstanding,-0.44030910596606115,-1.1244184320783155,Voluntary saving,-0.16153200381944186,-1.1048743784775996,remaining_to_duration_ratio,0.8122637446289507,1.0700533254252147,"account_total_savings=-0.5148 (pushes_toward Low Risk, shap=1.8464); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); account_total_outstanding=-0.4403 (pushes_away Low Risk, shap=-1.1244); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049); remaining_to_duration_ratio=0.8123 (pushes_toward Low Risk, shap=1.0701)"
5223848,5223848-02-02,Low Risk,Low Risk,account_total_savings,-0.4025246768639254,1.743063268454836,account_loan_count,-0.866587262857074,-1.4259699264733259,Salary,-0.2855546132852701,-1.2424926385644228,account_total_outstanding,-0.4146028522756608,-1.1097150809319885,Voluntary saving,-0.16153200381944186,-1.1048743784775996,"account_total_savings=-0.4025 (pushes_toward Low Risk, shap=1.7431); account_loan_count=-0.8666 (pushes_away Low Risk, shap=-1.4260); Salary=-0.2856 (pushes_away Low Risk, shap=-1.2425); account_total_outstanding=-0.4146 (pushes_away Low Risk, shap=-1.1097); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049)"
5223864,5223864-05-001,Low Risk,Medium Risk,Duration,2.3336807287363346,3.0469803940085263,outstanding_to_payment_ratio,2.1649773207899936,-1.4500037360192004,Remaining Period,2.5410755043367343,-1.3767269469544465,Salary,-0.2498748858710911,0.8329885632698953,account_total_savings,-0.15420457632021903,-0.584570884938317,"Duration=2.3337 (pushes_toward Medium Risk, shap=3.0470); outstanding_to_payment_ratio=2.1650 (pushes_away Medium Risk, shap=-1.4500); Remaining Period=2.5411 (pushes_away Medium Risk, shap=-1.3767); Salary=-0.2499 (pushes_toward Medium Risk, shap=0.8330); account_total_savings=-0.1542 (pushes_away Medium Risk, shap=-0.5846)"
